payeeNameOrganization,filerName,2018,2019,2020,2021,2022,2023,2024,Total
Uline,Travis County Republican Party (CEC),196.53,,,,,,,196.53
Texas Mailhouse,Travis County Republican Party (CEC),187.38,,,,,,,187.38
American Airlines,Travis County Republican Party (CEC),179.8,,,,,,,179.8
U-Haul,Travis County Republican Party (CEC),169.44,,,,,,,169.44
Heron Rentals,Travis County Republican Party (CEC),,,,,,155.88,,155.88
FedEx Office,Travis County Republican Party (CEC),150.62,,,,,,,150.62
TRCCA,Travis County Republican Party (CEC),150.0,,,,,,,150.0
Eagle Office Products,Travis County Republican Party (CEC),,140.0,,,,,,140.0
Freytag's Florist,Travis County Republican Party (CEC),,,,,130.65,,,130.65
Austin Film Society,Travis County Republican Party (CEC),120.0,,,,,,,120.0
Postnet TX,Travis County Republican Party (CEC),,,,,,115.1,,115.1
MICROSOFT,Travis County Republican Party (CEC),108.24,,,,,,,108.24
QuickGifts,Travis County Republican Party (CEC),100.79,,,,,,,100.79
Mackowiak,Travis County Republican Party (CEC),100.0,,,,,,,100.0
Steiner Ranch Steakhouse,Travis County Republican Party (CEC),100.0,,,,,,,100.0
Westin Austin Downtown,Travis County Republican Party (CEC),,,,,92.97,,,92.97
Rudy's Country Store and Bar-B-Q,Travis County Republican Party (CEC),,,,,,88.4,,88.4
Republican Club of Austin,Travis County Republican Party (CEC),75.0,,,,,,,75.0
Dunkin Donuts,Travis County Republican Party (CEC),,,,,,50.86,,50.86
Travis County Republican Party Corporate Account,Travis County Republican Party (CEC),,,,,,50.0,,50.0
"PCNametag, Inc.",Travis County Republican Party (CEC),46.87,,,,,,,46.87
Waterloo Ice House Burnet Road,Travis County Republican Party (CEC),,,,,,43.01,,43.01
Smart City Networks,Travis County Republican Party (CEC),42.06,,,,,,,42.06
Bexar County Republican Party,Travis County Republican Party (CEC),40.0,,,,,,,40.0
Frost,Travis County Republican Party (CEC),30.0,,,,,,,30.0
Travis County Republican Party Primary Account,Travis County Republican Party (CEC),,,,,25.0,,,25.0
Eventbrite,Travis County Republican Party (CEC),23.16,,,,,,,23.16
RoadWarrior LLC,Travis County Republican Party (CEC),,,,,20.0,,,20.0
Ablebits.com,Travis County Republican Party (CEC),,,,,,19.99,,19.99
Double Dave's Pizzawork,Travis County Republican Party (CEC),18.79,,,,,,,18.79
"The Hillman Group, Inc",Travis County Republican Party (CEC),,,,,8.66,,,8.66
Rick's Cleaners,Travis County Republican Party (CEC),6.47,,,,,,,6.47
City Of Austin,Travis County Republican Party (CEC),,,,,,,2.25,2.25
City of Austin,Travis County Republican Party (CEC),2.1,,,,,,,2.1
